chaveTituloAno	ano	autor	instituicao	cidade	cidadeReconciliada	latitude	longitude	estado	pais
reopou2022	2022	Fábio Cossenzo	PUC-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
reopou2022	2022	Marcello Peixoto Bax	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
tdieac2022	2022	Abeil Coelho Júnior	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
tdieac2022	2022	Daniela Lucas da Silva Lemos	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
temddr2022	2022	Benjamin Luiz Franklin	UEL	Londrina	Londrina	-23.31	-51.162777777778	PR	Brasil
vddanc2022	2022	Benildes Coura Moreira dos Santos Maculan	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
vddanc2022	2022	Francis Bento Marques	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
vddanc2022	2022	Renato Rocha Souza	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
vddanc2022	2022	Yuri Bento Marques	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
acddcn2019	2019	Liliane Chaves de Resende	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
acddcn2019	2019	Marcello Peixoto Bax	UFMG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
wdaddp2019	2019	Joyce Siqueira	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
wdaddp2019	2019	Dalton Lopes Martins	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
usspet2019	2019	Sérgio Souza Costa	UFMA	São Luís	São Luís	-2.53	-44.302777777778	MA	Brasil
usspet2019	2019	Mateus Vitor Duarte Sousa	UFMA	São Luís	São Luís	-2.53	-44.302777777778	MA	Brasil
usspet2019	2019	Micael Lopes da Silva	UFMA	São Luís	São Luís	-2.53	-44.302777777778	MA	Brasil
usspet2019	2019	Eddye Cândido de Oliveira	UFMA	São Luís	São Luís	-2.53	-44.302777777778	MA	Brasil
usspet2019	2019	José Victor Meireles Guimarães	UFMA	São Luís	São Luís	-2.53	-44.302777777778	MA	Brasil
ueprdc2019	2019	Felipe Affonso	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ueprdc2019	2019	Thiago Magela Rodrigues Dias	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
ueprdc2019	2019	Monique de Oliveira Santiago	CEFET-MG	Belo Horizonte	Belo Horizonte	-19.928055555555556	-43.941944444444445	MG	Brasil
pdadfd2019	2019	Jordan Ferreira Saran	UNESP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
pdadfd2019	2019	Ronnie Shida Marinho	UNESP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
pdadfd2019	2019	Clayton Martins Pereira	UNESP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
pdadfd2019	2019	Leonardo Castro Botega	UNESP	São Paulo	São Paulo	-23.550394444444	-46.633947222222	SP	Brasil
pdadfd2019	2019	José Eduardo Santarem Segundo	USP	Ribeirão Preto	Ribeirão Preto	-21.178333333333	-47.806666666667	SP	Brasil
oacbnr2019	2019	Danielle do Carmo	UFG	Goiânia	Goiânia	-16.680555555555557	-49.256388888888885	GO	Brasil
oacbnr2019	2019	Dalton Lopes Martins	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
omuecp2019	2019	Daniela Lucas da Silva Lemos	UFES	Vitória	Vitoria	-20.310555555555556	-40.297222222222224	ES	Brasil
oudbpr2019	2019	José Antonio Maurilio Milagre	UESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
oudbpr2019	2019	José Eduardo Santarem Segundo	USP	Ribeirão Preto	Ribeirão Preto	-21.178333333333	-47.806666666667	SP	Brasil
gds(vg2019	2019	Eduardo Diniz Amaral	UNIMONTES	Montes Claros	Montes Claros	-16.732222222222	-43.863611111111	MG	Brasil
gds(vg2019	2019	Adilson Luiz Pinto	UFSC	Florianópolis	Florianópolis	-27.593280555556	-48.553047222222	SC	Brasil
fddpcd2019	2019	Danilo Camargo Dias	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
fddpcd2019	2019	Danilo Dolc	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
fddpcd2019	2019	Isaque Katahira	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
fddpcd2019	2019	José Eduardo Santarem Segundo	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
fddpcd2019	2019	Leonardo Castro Botega	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
fddpcd2019	2019	Mariângela Spotti Lopes Fujita	UNESP	Marília	Marília	-22.213888888889	-49.945833333333	SP	Brasil
edtapt2019	2019	Fabio Piola Navarro	USP	Ribeirão Preto	Ribeirão Preto	-21.178333333333	-47.806666666667	SP	Brasil
edtapt2019	2019	José Eduardo Santarem Segundo	USP	Ribeirão Preto	Ribeirão Preto	-21.178333333333	-47.806666666667	SP	Brasil
ecsnwc2019	2019	Luis Felipe Rosa de Oliveira	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
ecsnwc2019	2019	Dalton Lopes Martins	UnB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
edgaàl2019	2019	Luiz Gustavo de Sena Brandão Pessoa	UFPB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
edgaàl2019	2019	Tereza Ludimila de Castro Cardoso	UFPB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
edgaàl2019	2019	Marckson Roberto Ferreira de Sousa	UFPB	Brasília	Brasília	-15.793888888889	-47.882777777778	DF	Brasil
eadecd2019	2019	Paulo R. V. do Carmo	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
eadecd2019	2019	Alan H. Costa	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
eadecd2019	2019	Sandro Rautenberg	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
eadecd2019	2019	Maria A. C. Knüppel	Unicentro	Guarapuava	Guarapuava	-25.395	-51.457777777778	PR	Brasil
